keywords_count,lines,file
37,520,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/NES/Boards/VRC2_4.cs
37,501,maps/DotNet/Maps/C-Sharp-Algorithms/DataStructures/Graphs/DirectedDenseGraph.cs
37,501,maps/DotNet/Maps/thirdparty/C-Sharp-Algorithms/DataStructures/Graphs/DirectedDenseGraph.cs
37,444,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/FixedStringAppendMethods.cs
37,426,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Atari/A7800Hawk/A7800Hawk.IEmulator.cs
37,381,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Sega/GGHawkLink/GGHawkLink.IEmulator.cs
37,354,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.Common/movie/import/LsmvImport.cs
37,253,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Intellivision/Cartridge.cs
37,146,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Sega/SMS/MemoryMap.Korea.cs
36,1024,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/UnsafeHashMap.cs
36,747,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawk/GBHawk.cs
